"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000000686",0,5,3,18,23.07,23
"ENSMUSG00000000690",63,56,56,125,86,80
"ENSMUSG00000000693",201.65,86.91,187.6,62.76,142.39,112.19
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",2,0,1,0,1,1
"ENSMUSG00000000708",209,177,154,626.99,652.99,742
"ENSMUSG00000000711",2912,2631,2510,3146,3147,3169
"ENSMUSG00000000724",0,0,0,0,0,0
"ENSMUSG00000000730",416,344,460,721,590,546
"ENSMUSG00000000731",35,49,36,160,187,189
"ENSMUSG00000000732",250,173,198,291,296,283
"ENSMUSG00000000738",820,655,719,1223,1499,1238
"ENSMUSG00000000739",6.6,6.48,8.7,14.47,9.79,7.19
"ENSMUSG00000000740",45222.42,45733.37,46703.11,30405.64,31666.96,29053.16
"ENSMUSG00000000743",4130,4230,4606,2526,2780,2330
"ENSMUSG00000000751",1204,975,1084,1811,1669,1742
"ENSMUSG00000000753",1323,1025,849,1119,1205,1060
"ENSMUSG00000000759",431,376,330,655,675,633
"ENSMUSG00000000766",0,0,0,0,0,0
"ENSMUSG00000000776",272,353,234,365,288,294
"ENSMUSG00000000782",0,2,0,4,0,0
"ENSMUSG00000000787",2733,2078,2135,9965,7817,10067
"ENSMUSG00000000791",331,448,339,218,138,136
"ENSMUSG00000000792",0,1,2,1,12,5
"ENSMUSG00000000794",1,1,0,2,2,4
"ENSMUSG00000000804",299,281,239,1334,1120,1440
"ENSMUSG00000000805",0,0,0,0,0,0
"ENSMUSG00000000811",117,81,87,151,180,129
"ENSMUSG00000000817",0,0,0,1,1,0
"ENSMUSG00000000823",159,73,142,141,221,198
"ENSMUSG00000000826",6485,6951,5476,9019,8760,8695
"ENSMUSG00000000827",1465,1810,1578,1462,1341,1319
"ENSMUSG00000000838",161,172,194,564,394,550
"ENSMUSG00000000861",0,0,0,0,0,0
"ENSMUSG00000000869",0,0,0,0,0,0
"ENSMUSG00000000876",455.54,373.33,458.98,230.67,352.88,294.57
"ENSMUSG00000000881",47,19,28,38,104,78
"ENSMUSG00000000884",43,45,60,80,66.54,57
"ENSMUSG00000000889",0,2,2,12,15,7
"ENSMUSG00000000901",0,1,3.09,31,24,22
"ENSMUSG00000000902",622,612,566,914,934,823
"ENSMUSG00000000903",0,0,0,1,1,0
"ENSMUSG00000000915",140.63,131.34,156.16,232.66,385.51,292.45
"ENSMUSG00000000916",183.64,165.7,188.64,265.24,240.13,237.89
"ENSMUSG00000000934",222,240,236,220,265,247
"ENSMUSG00000000938",0,0,0,1,0,1
"ENSMUSG00000000942",16,11,10,7,23,15
"ENSMUSG00000000948",0,0,0,0,0,0
"ENSMUSG00000000957",6.68,20.67,13.18,6.24,20.43,14.53
"ENSMUSG00000000958",89.04,102.07,79.03,125.13,92.17,95.2
"ENSMUSG00000000959",5115.96,4662.93,5801.97,1915.87,2246.83,1849.8
"ENSMUSG00000000976",746,609,645,705,699,667
"ENSMUSG00000000982",13076,9563,14899,4840,8648,6736
"ENSMUSG00000000983",0,0,0,0,0,0
"ENSMUSG00000001014",28,20,34,23,25,29
"ENSMUSG00000001016",843.27,1056.85,833.09,1061.64,1017.17,1067.2
"ENSMUSG00000001017",3581,3378,3082,3816,3790,3805.97
"ENSMUSG00000001018",585.73,451.15,482.91,1359.36,1466.83,1385.8
"ENSMUSG00000001020",31409.45,28518.16,33530.91,28604.12,36891.21,31724.95
"ENSMUSG00000001021",63,53,102.98,134.97,118.77,81
"ENSMUSG00000001023",0,1,3,0,0,2
"ENSMUSG00000001025",27404,24590,30892,15786,17635,16120
"ENSMUSG00000001027",7,3,3,19,28,13
"ENSMUSG00000001029",3,2,3,4,7,10
"ENSMUSG00000001034",699,627,640,667,639,615
"ENSMUSG00000001036",976,813,977,660,1019,918
"ENSMUSG00000001039",96,133,143,152,196,151
"ENSMUSG00000001052",1533,1410,1411,2052,2036,2057
"ENSMUSG00000001053",53,63,44,41,67,31
"ENSMUSG00000001054",173,168,185,156,242,200
"ENSMUSG00000001056",2495,2668,2932,1274,1569,1234
"ENSMUSG00000001062",245,155,272,212,302,240
"ENSMUSG00000001065",194.92,151.89,154.9,467.85,431.9,420.7
"ENSMUSG00000001076",1,0,0,0,6,0
"ENSMUSG00000001082",505,525,473,641,662,605
"ENSMUSG00000001089",630,500,511,1243,1415,1464
"ENSMUSG00000001095",0,9,4,7,6,6
"ENSMUSG00000001098",1621,1481,1621.36,1381,1448,1350
"ENSMUSG00000001100",1111,1007,1161,737,844,794
"ENSMUSG00000001103",0,0,0,0,0,0
"ENSMUSG00000001105",369,516,319,1652,831,1096
"ENSMUSG00000001119",0,2,0,3,1,1
"ENSMUSG00000001120",3,4,3,2,3,2
"ENSMUSG00000001123",78,86,83,93,152,114
"ENSMUSG00000001127",746,660,624,1402,1532,1429
"ENSMUSG00000001128",1153,1198,1103,1527,2690,2083
"ENSMUSG00000001131",35,28,43,24,35,27
"ENSMUSG00000001134",174.72,181.63,183.4,294.59,192.81,206.47
"ENSMUSG00000001138",244,187,213,771,748,684
"ENSMUSG00000001143",696,663,599,1149,1122,1033
"ENSMUSG00000001150",745.91,549.88,567.92,1262.87,1311.88,1368
"ENSMUSG00000001151",254,287,172,374,527,479
"ENSMUSG00000001155",0,0,0,0,0,0
"ENSMUSG00000001156",2327,1949,2098,895,1321,1110
"ENSMUSG00000001157",458,370,348,708,691,718
"ENSMUSG00000001158",585,613,588,1186,973,993
"ENSMUSG00000001166",98,100,90,97,155,112
"ENSMUSG00000001168",0,0,0,1,1,3
